This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"KLYV","QUENTIN AANE",-96.2158,43.6211,436,"ASOS","KLYV"
"KM19","NEWPORT MUNI",-91.1764,35.6378,73,"ASOS","KM19"
"KM30","METROPOLIS M",-88.7506,37.1858,117,"ASOS","KM30"
"KMAE","MADERA MUNIC",-120.1125,36.9864,77,"ASOS","KMAE"
"KMAF","MIDLAND REGI",-102.2086,31.9478,875,"ASOS","KMAF"
"KMAI","MARIANA",-85.1836,30.8367,34,"ASOS","KMAI"
"KMAN","NAMPA MUNICI",-116.5231,43.5814,773,"ASOS","KMAN"
"KMAO","MARION COUNT",-79.3347,34.1811,28,"ASOS","KMAO"
"KMBG","MOBRIDGE",-100.4086,45.5500,522,"ASOS","KMBG"
"KMBL","MANISTEE (AW",-86.2500,44.2700,189,"ASOS","KMBL"
"KMBS","SAGINAW/TRI",-84.0806,43.5367,203,"ASOS","KMBS"
"KMCB","MCCOMB/LEWIS",-90.4719,31.1783,126,"ASOS","KMCB"
"KMCC","MCCLELLAN AF",-121.4000,38.6700,23,"ASOS","KMCC"
"KMCD","MACKINAC ISL",-84.6372,45.8650,226,"ASOS","KMCD"
"KMCE","MERCED/MACRE",-120.5078,37.2831,47,"ASOS","KMCE"
"KMCF","MACDILL AFB/",-82.5200,27.8500,4,"ASOS","KMCF"
"KMCI","KANSAS CITY",-94.7306,39.2972,312,"ASOS","KMCI"
"KMCJ","HOUSTON/UNIV",-95.4000,29.7167,69,"ASOS","KMCJ"
"KMCK","MCCOOK MUNIC",-100.5883,40.2031,786,"ASOS","KMCK"
"KMCN","MACON/LEWIS",-83.6544,32.6878,107,"ASOS","KMCN"
"KMCO","ORLANDO JETP",-81.3250,28.4172,29,"ASOS","KMCO"
"KMCW","MASON CITY M",-93.3314,43.1578,370,"ASOS","KMCW"
"KMDD","MIDLAND AIRP",-102.1011,32.0364,854,"ASOS","KMDD"
"KMDH","CARBONDALE/M",-89.2450,37.7831,125,"ASOS","KMDH"
"KMDQ","HUNTSVILLE/M",-86.5572,34.8614,230,"ASOS","KMDQ"
"KMDS","MADISON MUNI",-97.0858,44.0161,523,"ASOS","KMDS"
"KMDT","MIDDLETOWN/O",-76.7633,40.1936,95,"ASOS","KMDT"
"KMDW","CHICAGO/MIDW",-87.7553,41.7842,188,"ASOS","KMDW"
"KMDZ","MEDFORD",-90.3033,45.1011,448,"ASOS","KMDZ"
"KMEB","LAURINBURG-M",-79.3681,34.7914,67,"ASOS","KMEB"
"KMEI","MERIDIAN/KEY",-88.7478,32.3381,90,"ASOS","KMEI"
"KMEM","MEMPHIS INTL",-89.9850,35.0611,101,"ASOS","KMEM"
"KMEZ","MENA INTERMO",-94.2028,34.5456,329,"ASOS","KMEZ"
"KMFD","MANSFIELD/LA",-82.5178,40.8203,395,"ASOS","KMFD"
"KMFE","MCALLEN/MILL",-98.2444,26.1797,32,"ASOS","KMFE"
"KMFI","MARSHFIELD",-90.1875,44.6381,389,"ASOS","KMFI"
"KMFV","MELFA/ACCOMA",-75.7700,37.6500,15,"ASOS","KMFV"
"KMGE","DOBBINS AFB/",-84.5200,33.9200,326,"ASOS","KMGE"
"KMGG","MAPLE LAKE",-93.9856,45.2361,313,"ASOS","KMGG"
"KMGJ","ORANGE COUNT",-74.2650,41.5092,111,"ASOS","KMGJ"
"KMGM","MONTGOMERY/D",-86.4061,32.3003,67,"ASOS","KMGM"
"KMGN","HARBOR SPRIN",-84.9133,45.4256,209,"ASOS","KMGN"
"KMGR","MOULTRIE MUN",-83.8033,31.0850,90,"ASOS","KMGR"
"KMGW","MORGANTOWN/H",-79.9211,39.6494,380,"ASOS","KMGW"
"KMGY","DAYTON-WRIGH",-84.2264,39.5936,293,"ASOS","KMGY"
"KMHE","MITCHELL (AW",-98.0300,43.7700,397,"ASOS","KMHE"
"KMHK","MANHATTAN MU",-96.6778,39.1353,321,"ASOS","KMHK"
"KMHS","MOUNT SHASTA",-122.3161,41.3158,1077,"ASOS","KMHS"
"KMHT","MANCHESTER A",-71.4358,42.9292,71,"ASOS","KMHT"
"KMIA","MIAMI INTL A",-80.3164,25.7906,3,"ASOS","KMIA"
"KMIB","MINOT AFB",-101.3500,48.4200,508,"ASOS","KMIB"
"KMIC","MINNEAPOLIS/",-93.3508,45.0625,264,"ASOS","KMIC"
"KMIE","MUNCIE/JOHNS",-85.3936,40.2342,285,"ASOS","KMIE"
"KMIV","MILLVILLE MU",-75.0783,39.3661,26,"ASOS","KMIV"
"KMIW","MARSHALLTOWN",-92.9161,42.1106,296,"ASOS","KMIW"
"KMJQ","JACKSON MUNI",-94.9800,43.6500,441,"ASOS","KMJQ"
"KMJX","ROBERT J MIL",-74.2925,39.9275,25,"ASOS","KMJX"
"KMKC","KANSAS CITY",-94.5969,39.1208,231,"ASOS","KMKC"
"KMKE","MILWAUKEE/MI",-87.9044,42.9550,220,"ASOS","KMKE"
"KMKG","MUSKEGON",-86.2367,43.1711,191,"ASOS","KMKG"
"KMKJ","MARION / WYT",-81.3500,36.9000,780,"ASOS","KMKJ"
"KMKL","JACKSON/MCKE",-88.9167,35.5931,132,"ASOS","KMKL"
"KMKN","COMANCHE COU",-98.6003,31.9169,423,"ASOS","KMKN"
"KMKO","MUSKOGEE/DAV",-95.3597,35.6569,185,"ASOS","KMKO"
"KMKS","BERKELEY COU",-80.0364,33.1856,22,"ASOS","KMKS"
"KMKT","MANKATO(AWOS",-93.9200,44.2200,311,"ASOS","KMKT"
"KMLB","MELBOURNE RE",-80.6458,28.1028,10,"ASOS","KMLB"
"KMLC","MC ALESTER R",-95.7831,34.8822,234,"ASOS","KMLC"
"KMLE","MILLARD AIRP",-96.1122,41.1961,320,"ASOS","KMLE"
"KMLF","MILFORD MUNI",-113.0097,38.4225,1536,"ASOS","KMLF"
"KMLI","MOLINE/QUAD",-90.5147,41.4514,179,"ASOS","KMLI"
"KMLJ","BALDWIN COUN",-83.2408,33.1542,117,"ASOS","KMLJ"
"KMLP","MULLAN PASS",-115.6697,47.4542,1829,"ASOS","KMLP"
"KMLS","MILES CITY",-105.8864,46.4281,801,"ASOS","KMLS"
"KMLT","MILLINOCKET",-68.6919,45.6478,124,"ASOS","KMLT"
"KMLU","MONROE REGIO",-92.0314,32.5117,24,"ASOS","KMLU"
"KMMH","MAMMOTH/JUNE",-118.8300,37.6200,2173,"ASOS","KMMH"
"KMMK","MERIDEN MARK",-72.8278,41.5097,31,"ASOS","KMMK"
"KMML","MARSHALL/RYA",-95.8200,44.4500,359,"ASOS","KMML"
"KMMT","MCENTIRE ANG",-80.8000,33.9200,77,"ASOS","KMMT"
"KMMU","MORRISTOWN M",-74.4200,40.8000,57,"ASOS","KMMU"
"KMMV","MCMINNVILLE",-123.1322,45.1961,48,"ASOS","KMMV"
"KMNH","MONUMENT/ELB",-104.6339,39.2167,2152,"ASOS","KMNH"
"KMNI","MANNING / CO",-80.2167,33.5833,32,"ASOS","KMNI"
"KMNM","MENOMINEE (A",-87.6300,45.1300,191,"ASOS","KMNM"
"KMNN","MARION",-83.0683,40.6167,303,"ASOS","KMNN"
"KMNZ","HAMILTON MUN",-98.1486,31.6658,396,"ASOS","KMNZ"
"KMOB","MOBILE/BATES",-88.2456,30.6883,66,"ASOS","KMOB"
"KMOD","MODESTO CITY",-120.9506,37.6242,29,"ASOS","KMOD"
"KMOP","MOUNT PLEASA",-84.7400,43.6200,230,"ASOS","KMOP"
"KMOT","MINOT INTL A",-101.2803,48.2594,523,"ASOS","KMOT"
"KMOX","MORRIS MUNI",-95.9700,45.5700,344,"ASOS","KMOX"
"KMPO","MT POCONO",-75.3961,41.1389,584,"ASOS","KMPO"
"KMPV","BARRE-MONTPE",-72.5661,44.2047,355,"ASOS","KMPV"
"KMPZ","MOUNT PLEASA",-91.5111,40.9467,224,"ASOS","KMPZ"
"KMQB","MACOMB",-90.6525,40.5203,216,"ASOS","KMQB"
"KMQE","EAST MILTON/",-71.1147,42.2122,192,"ASOS","KMQE"
"KMQI","MANTEO/DARE",-75.7000,35.9200,4,"ASOS","KMQI"
"KMQS","CHESTER COUN",-75.8656,39.9789,201,"ASOS","KMQS"
"KMRB","MARTINSBURG",-77.9844,39.4019,170,"ASOS","KMRB"
"KMRC","COLUMBIA / M",-87.1833,35.5500,206,"ASOS","KMRC"
"KMRF","MARFA MUNI (",-104.0200,30.3700,1481,"ASOS","KMRF"
"KMRH","BEAUFORT/SMI",-76.6606,34.7336,3,"ASOS","KMRH"
"KMRJ","MINERAL POIN",-90.2319,42.8853,359,"ASOS","KMRJ"
"KMRN","MORGANTON-LE",-81.6108,35.8214,387,"ASOS","KMRN"
"KMRT","UNION COUNTY",-83.3517,40.2247,311,"ASOS","KMRT"
"KMRY","MONTEREY",-121.8667,36.5833,-9999,"ASOS","KMRY"
"KMSL","MUSCLE SHOAL",-87.5994,34.7439,167,"ASOS","KMSL"
"KMSN","MADISON/DANE",-89.3453,43.1406,262,"ASOS","KMSN"
"KMSO","MISSOULA/BEL",-114.0925,46.9208,975,"ASOS","KMSO"
"KMSP","MINNEAPOLIS-",-93.2289,44.8831,256,"ASOS","KMSP"
"KMSS","MASSENA/RICH",-74.8456,44.9358,66,"ASOS","KMSS"
"KMSV","MONTICELLO(A",-74.8000,41.7000,428,"ASOS","KMSV"
"KMSY","NEW ORLEANS/",-90.2508,29.9928,1,"ASOS","KMSY"
"KMTC","SELFRIDGE AN",-82.8300,42.6200,177,"ASOS","KMTC"
"KMTH","MARATHON AIR",-81.0478,24.7258,2,"ASOS","KMTH"
"KMTJ","MONTROSE CO.",-107.8975,38.5050,1755,"ASOS","KMTJ"
"KMTN","BALTIMORE/MA",-76.4200,39.3300,7,"ASOS","KMTN"
"KMTO","MATTOON/CHAR",-88.2792,39.4781,220,"ASOS","KMTO"
"KMTP","MONTAUK AIRP",-71.9233,41.0731,2,"ASOS","KMTP"
"KMTV","MARTINSVILLE",-80.0200,36.6300,287,"ASOS","KMTV"
"KMTW","MANITOWAC MU",-87.6800,44.1300,198,"ASOS","KMTW"
"KMUI","MUIR AAF/IND",-76.5700,40.4300,149,"ASOS","KMUI"
"KMUO","MOUNTAIN HOM",-115.8700,43.0500,913,"ASOS","KMUO"
"KMUT","MUSCATINE",-91.1500,41.3700,167,"ASOS","KMUT"
"KMVE","MONTEVIDEO(A",-95.7200,44.9700,315,"ASOS","KMVE"
"KMVL","MORRISVILLE",-72.6161,44.5361,223,"ASOS","KMVL"
"KMVN","MOUNT VERNON",-88.8700,38.3200,146,"ASOS","KMVN"
"KMVY","MARTHAS VINE",-70.6167,41.3922,20,"ASOS","KMVY"
"KMWA","MARION REGIO",-89.0011,37.7503,144,"ASOS","KMWA"
"KMWC","MILWAUKEE/TI",-88.0300,43.1200,227,"ASOS","KMWC"
"KMWH","MOSES LAKE/G",-119.3133,47.1931,361,"ASOS","KMWH"
"KMWK","MOUNT AIRY/S",-80.5531,36.4597,380,"ASOS","KMWK"
"KMWL","MINERAL WELL",-98.0603,32.7817,297,"ASOS","KMWL"
"KMWM","WINDOM MUNI",-95.1094,43.9133,430,"ASOS","KMWM"
"KMWO","HOOK FIELD M",-84.3953,39.5311,198,"ASOS","KMWO"
"KMWT","MOUNT IDA",-93.5800,34.5500,241,"ASOS","KMWT"
"KMXF","MAXWELL AFB/",-86.3700,32.3800,51,"ASOS","KMXF"
"KMXO","MONTICELLO M",-91.1700,42.2300,259,"ASOS","KMXO"
"KMYF","SAN DIEGO/MO",-117.1364,32.8144,128,"ASOS","KMYF"
"KMYL","MC CALL",-116.0994,44.8833,1530,"ASOS","KMYL"
"KMYP","MONARCH PASS",-106.3169,38.4844,3667,"ASOS","KMYP"
"KMYR","MYRTLE BEACH",-78.9300,33.6800,8,"ASOS","KMYR"
"KMYV","MARYSVILLE/Y",-121.5697,39.0978,19,"ASOS","KMYV"
"KMZH","MOOSE_LAKE",-92.8000,46.4200,328,"ASOS","KMZH"
"KMZZ","MARION MUNIC",-85.6797,40.4900,262,"ASOS","KMZZ"
"KN60","GARRISON (AM",-101.4394,47.6458,582,"ASOS","KN60"
"KNAK","ANNAPOLIS",-76.4833,38.9914,2,"ASOS","KNAK"
"KNBC","BEAUFORT MCA",-80.7031,32.4936,11,"ASOS","KNBC"
"KNBG","NEW ORLEANS",-90.0244,29.8372,0,"ASOS","KNBG"
"KNCA","NEW RIVER MC",-77.4408,34.7058,7,"ASOS","KNCA"
"KNDZ","MILTON, WHIT",-87.0200,30.6972,54,"ASOS","KNDZ"
"KNEL","LAKEHURST NA",-74.3500,40.0300,31,"ASOS","KNEL"
"KNEW","NEW ORLEANS/",-90.0289,30.0494,2,"ASOS","KNEW"
"KNFE","FENTRESS, NA",-76.1283,36.7008,3,"ASOS","KNFE"
"KNFG","CAMP PENDLET",-117.3539,33.3047,23,"ASOS","KNFG"
"KNFL","FALLON NAS",-118.6856,39.4322,1199,"ASOS","KNFL"
"KNFW","FORT WORTH N",-97.4333,32.7658,198,"ASOS","KNFW"
"KNGP","CORPUS CHRIS",-97.2917,27.6886,5,"ASOS","KNGP"
"KNGU","NORFOLK NAS/",-76.2958,36.9336,4,"ASOS","KNGU"
"KNHK","PATUXENT RIV",-76.4139,38.2786,12,"ASOS","KNHK"
"KNID","CHINA LAKE (",-117.6900,35.6864,696,"ASOS","KNID"
"KNIP","JACKSONVILLE",-81.6747,30.2342,6,"ASOS","KNIP"
"KNJK","EL CENTRO NA",-115.6606,32.8250,-13,"ASOS","KNJK"
"KNJM","BOGUE FIELD",-77.0294,34.6928,6,"ASOS","KNJM"
"KNKT","CHERRY POINT",-76.8808,34.8978,8,"ASOS","KNKT"
"KNKX","MIRAMAR NAS",-117.1425,32.8683,146,"ASOS","KNKX"
"KNLC","LEMOORE NAS/",-119.9381,36.3036,71,"ASOS","KNLC"
"KNMM","MERIDIAN NAS",-88.5431,32.5464,96,"ASOS","KNMM"
"KNOG","ORANGE GROVE",-98.0442,27.8892,78,"ASOS","KNOG"
"KNPA","PENSACOLA NA",-87.3233,30.3561,9,"ASOS","KNPA"
"KNQI","KINGSVILLE N",-97.8117,27.5031,15,"ASOS","KNQI"
"KNQX","KEY WEST NAS",-81.6839,24.5794,1,"ASOS","KNQX"
"KNRB","MAYPORT NS",-81.4225,30.3958,5,"ASOS","KNRB"
"KNRS","IMPERIAL BEA",-117.1100,32.5631,7,"ASOS","KNRS"
"KNSE","WHITING FLD",-87.0167,30.7333,60,"ASOS","KNSE"
"KNTD","PT MUGU NAWS",-119.1217,34.1239,3,"ASOS","KNTD"
"KNTU","OCEANA NAS/S",-76.0283,36.8211,6,"ASOS","KNTU"
"KNUI","ST. INIGOES,",-76.4200,38.1489,6,"ASOS","KNUI"
"KNUQ","MOFFETT NAS/",-122.0481,37.4058,10,"ASOS","KNUQ"
"KNUW","WHIDBEY ISLA",-122.6506,48.3492,14,"ASOS","KNUW"
"KNXP","TWENTYNINE P",-116.1450,34.2944,626,"ASOS","KNXP"
"KNYC","NEW YORK CIT",-73.9667,40.7833,47,"ASOS","KNYC"
"KNYG","QUANTICO MCA",-77.2917,38.5125,3,"ASOS","KNYG"
"KNYL","YUMA MCAS",-114.6061,32.6567,66,"ASOS","KNYL"
"KNZY","NORTH ISLAND",-117.2089,32.6908,7,"ASOS","KNZY"
"KO22","COLUMBIA AIR",-120.4144,38.0306,646,"ASOS","KO22"
"KO54","LONNIE POOL",-122.9222,40.7472,716,"ASOS","KO54"
"KOAJ","JACKSONVILLE",-77.6200,34.8300,29,"ASOS","KOAJ"
"KOAK","OAKLAND",-122.2353,37.7194,1,"ASOS","KOAK"
"KOCF","OCALA MUNI (",-82.2200,29.1700,27,"ASOS","KOCF"
"KOCH","NACOGDOCHES",-94.7200,31.5800,108,"ASOS","KOCH"
"KOCW","WASHINGTON/W",-77.0497,35.5706,12,"ASOS","KOCW"
"KODO","ODESSA-SCHLE",-102.3917,31.9214,914,"ASOS","KODO"
"KODX","ORD/SHARP FI",-98.9525,41.6242,631,"ASOS","KODX"
"KOEB","COLDWATER",-85.0500,41.9300,292,"ASOS","KOEB"
"KOEO","OSCEOLA",-92.6900,45.3086,275,"ASOS","KOEO"
"KOFF","OFFUTT AFB/B",-95.9200,41.1200,319,"ASOS","KOFF"
"KOFK","NORFOLK/STEF",-97.4369,41.9806,479,"ASOS","KOFK"
"KOFP","RICHMOND (AS",-77.4344,37.7081,62,"ASOS","KOFP"
"KOGA","OGALLALA",-101.7689,41.1197,999,"ASOS","KOGA"
"KOGB","ORANGEBURG",-80.8536,33.4639,60,"ASOS","KOGB"
"KOGD","OGDEN-HINCKL",-112.0164,41.1936,1362,"ASOS","KOGD"
"KOJA","THOMAS P STA",-98.6686,35.5447,489,"ASOS","KOJA"
"KOJC","OLATHE/JOHNS",-94.7392,38.8500,334,"ASOS","KOJC"
"KOKB","OCEANSIDE MU",-117.3514,33.2181,9,"ASOS","KOKB"
"KOKC","OKLAHOMA CIT",-97.6003,35.3886,394,"ASOS","KOKC"
"KOKK","KOKOMO, KOKO",-86.0667,40.5333,253,"ASOS","KOKK"
"KOKM","OKMULGEE MUN",-95.9486,35.6681,220,"ASOS","KOKM"
"KOKV","WINCHESTER R",-78.1500,39.1500,222,"ASOS","KOKV"
"KOLE","CATTARAUGUS",-78.3714,42.2414,651,"ASOS","KOLE"
"KOLF","WOLF POINT I",-105.5772,48.0944,605,"ASOS","KOLF"
"KOLM","OLYMPIA",-122.9033,46.9733,62,"ASOS","KOLM"
"KOLS","NOGALES INTL",-110.8458,31.4208,1198,"ASOS","KOLS"
"KOLU","COLUMBUS MUN",-97.3300,41.4500,440,"ASOS","KOLU"
"KOLV","OLIVE BRANCH",-89.7869,34.9789,122,"ASOS","KOLV"
"KOLY","OLNEY-NOBLE",-88.1764,38.7219,147,"ASOS","KOLY"
"KOLZ","OELWEIN",-91.9744,42.6808,328,"ASOS","KOLZ"
"KOMA","OMAHA/EPPLEY",-95.8992,41.3103,299,"ASOS","KOMA"
"KOMH","ORANGE/ORANG",-78.0456,38.2472,142,"ASOS","KOMH"
"KOMK","OMAK AIRPORT",-119.5181,48.4642,397,"ASOS","KOMK"
"KONA","WINONA MUNI",-91.7000,44.0800,200,"ASOS","KONA"
"KONL","O'NEILL/BAKE",-98.6800,42.4700,619,"ASOS","KONL"
"KONM","SOCORRO MUNI",-106.9031,34.0225,1486,"ASOS","KONM"
"KONO","ONTARIO MUNI",-117.0097,44.0194,667,"ASOS","KONO"
"KONP","NEWPORT MUNI",-124.0581,44.5803,49,"ASOS","KONP"
"KONT","ONTARIO INTL",-117.5758,34.0533,287,"ASOS","KONT"
"KONX","CURRITUCK CO",-76.0164,36.3989,5,"ASOS","KONX"
"KONZ","DETROIT/GROS",-83.1611,42.0986,180,"ASOS","KONZ"
"KOOA","OSKALOOSA MU",-92.4939,41.2261,256,"ASOS","KOOA"
"KOPF","MIAMI/OPA LO",-80.2831,25.9100,3,"ASOS","KOPF"
"KOPN","THOMASTON",-84.2644,32.9550,243,"ASOS","KOPN"
"KOQT","OAK RIDGE",-84.2300,36.0200,277,"ASOS","KOQT"
"KORB","ORR",-92.8700,48.0200,397,"ASOS","KORB"
"KORC","ORANGE CITY",-96.0700,42.9800,431,"ASOS","KORC"
"KORD","CHICAGO/O'HA",-87.9044,41.9797,203,"ASOS","KORD"
"KORE","ORANGE (ASOS",-72.2775,42.5717,169,"ASOS","KORE"
"KORF","NORFOLK INTL",-76.1919,36.9036,8,"ASOS","KORF"
"KORG","ORANGE COUNT",-93.8036,30.0692,4,"ASOS","KORG"
"KORH","WORCESTER (A",-71.8731,42.2706,307,"ASOS","KORH"
"KORL","ORLANDO/HERN",-81.3358,28.5464,34,"ASOS","KORL"
"KORS","EASTSOUND/OR",-122.9100,48.7100,8,"ASOS","KORS"
"KOSA","MOUNT PLEASA",-94.9614,33.0956,111,"ASOS","KOSA"
"KOSC","WURTSMITH AF",-83.4000,44.4500,193,"ASOS","KOSC"
"KOSH","OSHKOSH/WITT",-88.5581,43.9667,246,"ASOS","KOSH"
"KOSU","OHIO ST U/CO",-83.0781,40.0781,275,"ASOS","KOSU"
"KOTG","WORTHINGTON",-95.5800,43.6500,480,"ASOS","KOTG"
"KOTH","NORTH BEND (",-124.2500,43.4200,4,"ASOS","KOTH"
"KOTM","OTTUMWA INDU",-92.4481,41.1067,258,"ASOS","KOTM"
"KOUN","NORMAN/WESTH",-97.4500,35.2200,357,"ASOS","KOUN"
"KOVE","OROVILLE",-121.6203,39.4947,57,"ASOS","KOVE"
"KOVL","OLIVIA REGIO",-95.0328,44.7786,328,"ASOS","KOVL"
"KOVS","BOSCOBEL",-90.6775,43.1561,205,"ASOS","KOVS"
"KOWA","OWATONNA (AW",-93.2500,44.1200,350,"ASOS","KOWA"
"KOWB","OWENSBORO/DA",-87.1700,37.7300,124,"ASOS","KOWB"
"KOWD","NORWOOD MEMO",-71.1739,42.1908,15,"ASOS","KOWD"
"KOXB","OCEAN CITY M",-75.1239,38.3106,4,"ASOS","KOXB"
"KOXC","OXFORD (AWOS",-73.1300,41.4800,222,"ASOS","KOXC"
"KOXI","STARKE COUNT",-86.6647,41.3303,209,"ASOS","KOXI"
"KOXR","OXNARD",-119.2031,34.2006,13,"ASOS","KOXR"
"KOXV","KNOXVILLE",-93.1200,41.3000,283,"ASOS","KOXV"
"KOZA","OZONA MUNICI",-101.2031,30.7353,726,"ASOS","KOZA"
"KOZR","CAIRNS AAF/O",-85.7200,31.2800,91,"ASOS","KOZR"
"KOZW","HOWELL",-83.9842,42.6294,293,"ASOS","KOZW"
"KP28","MEDICINE LOD",-98.5528,37.2839,469,"ASOS","KP28"
"KP53","MUNISING LAK",-86.6508,46.4117,187,"ASOS","KP53"
"KP58","HARBOR BEACH",-82.7931,44.0219,179,"ASOS","KP58"
"KP59","COPPER HARBO",-87.8750,47.4669,190,"ASOS","KP59"
"KP60","YELLOWSTONE",-110.4211,44.5444,2388,"ASOS","KP60"
"KP68","EUREKA (RAMO",-116.0056,39.6014,1812,"ASOS","KP68"
"KP69","ELK CITY (RA",-115.5964,46.1442,480,"ASOS","KP69"
"KP92","SALT POINT (",-91.5256,29.5622,0,"ASOS","KP92"
"KPAE","EVERETT/PAIN",-122.2825,47.9231,184,"ASOS","KPAE"
"KPAH","PADUCAH/BARK",-88.7739,37.0564,125,"ASOS","KPAH"
"KPAM","TYNDALL AFB",-85.5800,30.0700,5,"ASOS","KPAM"
"KPAN","PAYSON AIRPO",-111.3392,34.2569,1572,"ASOS","KPAN"
"KPBF","PINE BLUFF/G",-91.9347,34.1750,63,"ASOS","KPBF"
"KPBG","PLATTSBURGH",-73.4681,44.6508,71,"ASOS","KPBG"
"KPBH","PHILLIPS/PRI",-90.4000,45.7000,449,"ASOS","KPBH"
"KPBI","WEST PALM BE",-80.0994,26.6847,5,"ASOS","KPBI"
"KPCM","PLANT CITY M",-82.1642,28.0003,47,"ASOS","KPCM"
"KPCZ","WAUPACA MUNI",-89.0197,44.3333,252,"ASOS","KPCZ"
"KPDC","PRAIRIE DU C",-91.1247,43.0219,201,"ASOS","KPDC"
"KPDK","ATLANTA/DEKA",-84.2981,33.8783,305,"ASOS","KPDK"
"KPDT","PENDLETON MU",-118.8342,45.6983,455,"ASOS","KPDT"
"KPDX","PORTLAND INT",-122.6003,45.5908,8,"ASOS","KPDX"
"KPEA","PELLA MUNI A",-92.9500,41.4000,270,"ASOS","KPEA"
"KPEO","PENN YAN AIR",-77.0494,42.6431,275,"ASOS","KPEO"
"KPEQ","PECOS MUNICI",-103.5108,31.3825,796,"ASOS","KPEQ"
"KPEX","PAYNESVILLE",-94.7464,45.3722,360,"ASOS","KPEX"
"KPGA","PAGE MUNI (A",-111.4481,36.9206,1314,"ASOS","KPGA"
"KPGD","PUNTA GORDA",-81.9936,26.9178,7,"ASOS","KPGD"
"KPGV","PITT-GREENVI",-77.4000,35.6300,8,"ASOS","KPGV"
"KPHD","NEW PHILADEL",-81.4236,40.4719,272,"ASOS","KPHD"
"KPHF","NEWPORT NEWS",-76.4931,37.1319,13,"ASOS","KPHF"
"KPHL","PHILADELPHIA",-75.2311,39.8683,6,"ASOS","KPHL"
"KPHN","ST.CLAIR COU",-82.5300,42.9200,198,"ASOS","KPHN"
"KPHP","PHILIP",-101.6011,44.0511,673,"ASOS","KPHP"
"KPHT","HENRY COUNTY",-88.3828,36.3383,177,"ASOS","KPHT"
"KPHX","PHOENIX/SKY",-112.0511,33.4342,345,"ASOS","KPHX"
"KPIA","PEORIA REGIO",-89.6839,40.6675,201,"ASOS","KPIA"
"KPIB","PINE BELT RG",-89.3300,31.4700,91,"ASOS","KPIB"
"KPIE","SAINT PETERS",-82.6856,27.9122,3,"ASOS","KPIE"
"KPIH","POCATELLO MU",-112.5711,42.9203,1356,"ASOS","KPIH"
"KPIL","PORT ISABEL-",-97.3375,26.1592,5,"ASOS","KPIL"
"KPIR","PIERRE MUNIC",-100.2858,44.3828,531,"ASOS","KPIR"
"KPIT","PITTSBURGH I",-80.2664,40.5039,366,"ASOS","KPIT"
"KPKB","PARKERSBURG/",-81.4392,39.3450,262,"ASOS","KPKB"
"KPKD","PARK RAPIDS",-95.0678,46.9006,439,"ASOS","KPKD"
"KPKV","CALHOUN COUN",-96.6814,28.6542,9,"ASOS","KPKV"
"KPLN","PELLSTON/EMM",-84.7967,45.5708,220,"ASOS","KPLN"
"KPLU","PIERCE COUNT",-122.2872,47.1039,164,"ASOS","KPLU"
"KPMD","PALMDALE PRO",-118.0814,34.6297,775,"ASOS","KPMD"
"KPMP","POMPANO BEAC",-80.1114,26.2456,6,"ASOS","KPMP"
"KPMV","PLATTSMOUTH",-95.9178,40.9503,366,"ASOS","KPMV"
"KPNA","RALPH WENZ F",-109.8072,42.7956,2160,"ASOS","KPNA"
"KPNC","PONCA CITY M",-97.0997,36.7306,307,"ASOS","KPNC"
"KPNE","PHILADELPHIA",-75.0136,40.0789,36,"ASOS","KPNE"
"KPNM","PRINCETON MU",-93.6100,45.5600,298,"ASOS","KPNM"
"KPNS","PENSACOLA RE",-87.1869,30.4781,36,"ASOS","KPNS"
"KPNT","PONTIAC",-88.6253,40.9236,201,"ASOS","KPNT"
"KPOB","POPE AFB",-79.0200,35.1700,66,"ASOS","KPOB"
"KPOE","FORT POLK (A",-93.2000,31.0500,100,"ASOS","KPOE"
"KPOF","POPLAR BLUFF",-90.3222,36.7706,100,"ASOS","KPOF"
"KPOU","POUGHKEEPSIE",-73.8842,41.6267,50,"ASOS","KPOU"
"KPPA","PERRY LEFORS",-100.9964,35.6131,989,"ASOS","KPPA"
"KPPF","PARSONS/TRI",-95.5042,37.3278,274,"ASOS","KPPF"
"KPPQ","PITTSFIELD",-90.7783,39.6389,216,"ASOS","KPPQ"
"KPQI","PRESQUE ISLE",-68.0500,46.6800,146,"ASOS","KPQI"
"KPQL","PASCAGOULA",-88.5319,30.4636,5,"ASOS","KPQL"
"KPQN","PIPESTONE (A",-96.3200,43.9800,529,"ASOS","KPQN"
"KPRB","PASO ROBLES",-120.6269,35.6728,255,"ASOS","KPRB"
"KPRC","PRESCOTT/LOV",-112.4222,34.6492,1537,"ASOS","KPRC"
"KPRG","PARIS",-87.6697,39.7003,199,"ASOS","KPRG"
"KPRN","MACCRENSHAW",-86.6108,31.8456,137,"ASOS","KPRN"
"KPRO","PERRY MUNICI",-94.1597,41.8281,309,"ASOS","KPRO"
"KPRX","PARIS/COX FI",-95.4500,33.6300,167,"ASOS","KPRX"
"KPSC","PASCO/TRI-CI",-119.1167,46.2697,124,"ASOS","KPSC"
"KPSF","PITTSFIELD M",-73.2892,42.4272,364,"ASOS","KPSF"
